,Clan O,Clan E,Clan A,Clan K,Clan S,Clan Y,Clan I,Clan F,Clan M,Clan T,Gesamt
Antragsdelikte,194,120,101,65,67,54,24,42,25,29,721
Ausländerrecht,4,4,0,3,2,2,11,0,11,0,37
Betrugs- und Fälschungsdelikte,278,194,104,107,80,92,85,107,81,86,1214
Eigentumsdelikte,300,134,100,106,84,85,91,70,87,48,1105
Rohheitsdelikte,768,406,307,244,246,172,174,183,196,170,2866
Politisch motivierte Delikte,0,1,2,1,0,0,1,1,1,1,8
Rauschgiftdelikte,77,60,35,24,29,50,56,16,24,58,429
Sexualkriminalität,20,10,3,7,4,6,12,4,8,3,77
Sonstige Kriminalität,73,77,20,21,19,13,14,33,17,10,297
Steuer- und Zolldelikte,2,0,3,0,1,1,0,0,2,0,9
Waffenrecht,20,9,4,7,7,5,5,2,2,3,64
Wirtschaftskriminalität,2,2,1,0,0,1,0,1,1,1,9
Gesamt,1738,1017,680,585,539,481,473,459,455,409,6836