,2016,2017,2018,Gesamt
Clan O,185,228,151,564
Clan E,125,90,125,340
Clan A,100,88,76,264
Clan K,72,69,67,208
Clan S,76,94,35,205
Clan F,102,61,33,196
Clan R,77,42,69,188
Clan Ta,33,78,43,154
Clan I,42,62,34,138
Clan C,50,32,34,116
Gesamt,862,844,667,2373